sid,time_iso,time_ns,lat,lon
b'1979258N20273',1979-09-18T05:59:59.999959744,306482399999959744,19.040000915527344,-93.58000183105467
b'1979258N20273',1979-09-18T08:59:59.999959744,306493199999959744,17.64750099182129,-89.41999816894531
b'1979258N20273',1979-09-18T11:59:59.999959744,306503999999959744,17.0,-89.68000030517578
b'1979258N20273',1979-09-18T11:59:59.999959744,306503999999959744,17.21000099182129,-92.2699966430664
b'1979258N20273',1979-09-18T14:59:59.999959744,306514799999959744,17.292499542236328,-93.7624969482422
b'1979258N20273',1979-09-18T17:59:59.999959744,306525599999959744,17.190000534057617,-93.73999786376952
b'1979258N20273',1979-09-18T17:59:59.999959744,306525599999959744,16.630001068115234,-93.73999786376952
b'1979258N20273',1979-09-18T20:59:59.999959744,306536399999959744,16.764999389648438,-95.42749786376952
b'1979258N20273',1979-09-18T20:59:59.999959744,306536399999959744,17.604999542236328,-95.00749969482422
b'1979258N20273',1979-09-18T23:59:59.999959744,306547199999959744,17.440000534057617,-94.43999481201172
b'1979258N20273',1979-09-18T23:59:59.999959744,306547199999959744,16.459999084472656,-93.52999877929688
b'1979258N20273',1979-09-19T02:59:59.999959744,306557999999959744,17.487499237060547,-95.37750244140624
b'1979258N20273',1979-09-19T02:59:59.999959744,306557999999959744,19.587499618530277,-95.37750244140624
b'1979258N20273',1979-09-19T05:59:59.999959744,306568799999959744,18.28999900817871,-95.80999755859376
b'1979258N20273',1979-09-19T05:59:59.999959744,306568799999959744,18.42999839782715,-95.73999786376952
b'1979258N20273',1979-09-19T08:59:59.999959744,306579599999959744,17.05500030517578,-96.32749938964844
b'1979258N20273',1979-09-19T11:59:59.999959744,306590399999959744,16.690000534057617,-96.05999755859376
b'1979258N20273',1979-09-19T11:59:59.999959744,306590399999959744,16.6200008392334,-96.12999725341795
b'1979258N20273',1979-09-19T14:59:59.999959744,306601199999959744,16.67500114440918,-96.19249725341795
b'1979258N20273',1979-09-19T17:59:59.999959744,306611999999959744,20.61000061035156,-95.93000030517578
b'1979258N20273',1979-09-19T17:59:59.999959744,306611999999959744,20.61000061035156,-96.0
b'1979258N20273',1979-09-19T20:59:59.999959744,306622799999959744,20.81999969482422,-95.04500579833984
b'1979258N20273',1979-09-19T20:59:59.999959744,306622799999959744,20.540000915527344,-94.97500610351562
b'1979258N20273',1979-09-19T23:59:59.999959744,306633599999959744,18.09000015258789,-94.62000274658205
b'1979258N20273',1979-09-19T23:59:59.999959744,306633599999959744,18.229999542236328,-94.62000274658205
b'1979258N20273',1979-09-20T02:59:59.999959744,306644399999959744,17.102500915527344,-93.92250061035156
b'1979258N20273',1979-09-20T02:59:59.999959744,306644399999959744,17.172500610351562,-93.7824935913086
b'1979258N20273',1979-09-20T05:59:59.999959744,306655199999959744,16.760000228881836,-93.23999786376952
b'1979258N20273',1979-09-20T05:59:59.999959744,306655199999959744,16.760000228881836,-93.16999816894533
b'1979258N20273',1979-09-20T08:59:59.999959744,306665999999959744,17.090002059936523,-95.19749450683594
b'1979258N20273',1979-09-20T11:59:59.999959744,306676799999959744,17.21000099182129,-96.3699951171875
b'1979258N20273',1979-09-20T11:59:59.999959744,306676799999959744,17.0,-100.36000061035156
b'1979258N20273',1979-09-20T14:59:59.999959744,306687599999959744,16.782501220703125,-101.3699951171875
b'1979258N20273',1979-09-20T14:59:59.999959744,306687599999959744,16.922500610351562,-101.15999603271484
b'1979258N20273',1979-09-20T17:59:59.999959744,306698399999959744,17.0,-92.08999633789062
b'1979258N20273',1979-09-20T17:59:59.999959744,306698399999959744,17.490001678466797,-91.5999984741211
b'1979258N20273',1979-09-20T20:59:59.999959744,306709199999959744,16.797500610351562,-90.2449951171875
b'1979258N20273',1979-09-20T20:59:59.999959744,306709199999959744,17.987499237060547,-89.75499725341797
b'1979258N20273',1979-09-20T23:59:59.999959744,306719999999959744,19.86000061035156,-88.77999877929688
b'1979258N20273',1979-09-20T23:59:59.999959744,306719999999959744,17.1299991607666,-89.34000396728516
b'1979258N20273',1979-09-21T02:59:59.999959744,306730799999959744,16.572500228881836,-89.12750244140625
b'1979258N20273',1979-09-21T05:59:59.999959744,306741599999959744,17.080001831054688,-88.83000183105469
b'1979258N20273',1979-09-21T05:59:59.999959744,306741599999959744,18.200000762939453,-88.69000244140625
b'1979258N20273',1979-09-21T08:59:59.999959744,306752399999959744,17.440000534057617,-88.7074966430664
b'1979258N20273',1979-09-21T11:59:59.999959744,306763199999959744,23.049999237060547,-86.53999328613281
b'1979258N20273',1979-09-21T11:59:59.999959744,306763199999959744,23.75,-86.25999450683594
b'1979258N20273',1979-09-21T14:59:59.999959744,306773999999959744,25.93000030517578,-85.48500061035156
b'1979258N20273',1979-09-21T14:59:59.999959744,306773999999959744,26.06999969482422,-85.41500091552734
b'1979258N20273',1979-09-21T17:59:59.999959744,306784799999959744,27.059999465942383,-85.09000396728516
b'1979258N20273',1979-09-21T17:59:59.999959744,306784799999959744,27.34000015258789,-84.74000549316406
b'1979258N20273',1979-09-21T20:59:59.999959744,306795599999959744,28.18249893188477,-84.01000213623047
b'1979258N20273',1979-09-21T23:59:59.999959744,306806399999959744,22.600000381469727,-88.18000030517578
b'1979258N20273',1979-09-21T23:59:59.999959744,306806399999959744,23.30000114440918,-84.81999969482422
b'1979258N20273',1979-09-22T02:59:59.999959744,306817199999959744,22.8700008392334,-86.85999298095703
b'1979258N20273',1979-09-22T02:59:59.999959744,306817199999959744,23.9900016784668,-85.10999298095703
b'1979258N20273',1979-09-22T05:59:59.999959744,306827999999959744,23.6299991607666,-86.79999542236328
b'1979258N20273',1979-09-22T05:59:59.999959744,306827999999959744,24.61000061035156,-85.88999938964844
b'1979258N20273',1979-09-22T08:59:59.999959744,306838799999959744,24.47249984741211,-87.0574951171875
b'1979258N20273',1979-09-22T11:59:59.999959744,306849599999959744,24.420000076293945,-89.47000122070312
b'1979258N20273',1979-09-22T11:59:59.999959744,306849599999959744,24.6299991607666,-88.69999694824219
b'1979258N20273',1979-09-22T14:59:59.999959744,306860399999959744,25.0049991607666,-87.84249877929688
b'1979258N20273',1979-09-22T14:59:59.999959744,306860399999959744,25.075000762939453,-88.26249694824219
b'1979258N20273',1979-09-22T17:59:59.999959744,306871199999959744,25.61999893188477,-87.63999938964844
b'1979258N20273',1979-09-22T17:59:59.999959744,306871199999959744,25.549999237060547,-87.70999908447266
b'1979258N20273',1979-09-22T20:59:59.999959744,306881999999959744,20.96999931335449,-87.87249755859375
b'1979258N20273',1979-09-22T20:59:59.999959744,306881999999959744,21.809999465942383,-87.80249786376953
b'1979258N20273',1979-09-22T23:59:59.999959744,306892799999959744,20.59000015258789,-87.41999816894531
b'1979258N20273',1979-09-22T23:59:59.999959744,306892799999959744,18.489999771118164,-87.91000366210938
b'1979258N20273',1979-09-23T02:59:59.999959744,306903599999959744,16.5,-87.99000549316406
b'1979258N20273',1979-09-23T02:59:59.999959744,306903599999959744,16.56999969482422,-87.85000610351562
b'1979258N20273',1979-09-23T05:59:59.999959744,306914399999959744,16.469999313354492,-88.55999755859375
b'1979258N20273',1979-09-23T05:59:59.999959744,306914399999959744,21.85999870300293,-87.93000030517578
b'1979258N20273',1979-09-23T08:59:59.999959744,306925199999959744,16.889999389648438,-89.18000030517578
b'1979258N20273',1979-09-23T11:59:59.999959744,306935999999959744,18.649999618530277,-88.12999725341797
b'1979258N20273',1979-09-23T11:59:59.999959744,306935999999959744,18.36999893188477,-88.47999572753906
b'1979258N20273',1979-09-23T14:59:59.999959744,306946799999959744,22.082500457763672,-87.61250305175781
b'1979258N20273',1979-09-23T14:59:59.999959744,306946799999959744,21.9424991607666,-87.75250244140625
b'1979258N20273',1979-09-23T17:59:59.999959744,306957599999959744,24.0,-87.61000061035156
b'1979258N20273',1979-09-23T17:59:59.999959744,306957599999959744,24.06999969482422,-87.4000015258789
b'1979258N20273',1979-09-23T20:59:59.999959744,306968399999959744,24.98750114440918,-86.99250030517578
b'1979258N20273',1979-09-23T20:59:59.999959744,306968399999959744,25.127500534057617,-87.20249938964844
b'1979258N20273',1979-09-23T23:59:59.999959744,306979199999959744,25.530000686645508,-86.66999816894531
b'1979258N20273',1979-09-23T23:59:59.999959744,306979199999959744,23.63999938964844,-86.38999938964844
b'1979258N20273',1979-09-24T02:59:59.999959744,306989999999959744,20.2549991607666,-84.34500122070312
b'1979258N20273',1979-09-24T05:59:59.999959744,307000799999959744,18.15999984741211,-81.9800033569336
b'1979258N20273',1979-09-24T05:59:59.999959744,307000799999959744,18.299999237060547,-81.70000457763672
b'1979258N20273',1979-09-24T08:59:59.999959744,307011599999959744,18.99499893188477,-80.69249725341797
b'1979258N20273',1979-09-24T11:59:59.999959744,307022399999959744,20.86999893188477,-84.38999938964844
b'1979258N20273',1979-09-24T11:59:59.999959744,307022399999959744,20.239999771118164,-79.62999725341797
b'1980199N31284',1980-07-16T23:59:59.999959744,332639999999959744,32.66999816894531,-79.0199966430664
b'1980199N31284',1980-07-16T23:59:59.999959744,332639999999959744,32.810001373291016,-77.83000183105469
b'1980199N31284',1980-07-17T02:59:59.999959744,332650799999959744,31.532501220703125,-83.78250122070312
b'1980199N31284',1980-07-17T05:59:59.999959744,332661599999959744,27.32999992370605,-80.13999938964844
b'1980199N31284',1980-07-17T08:59:59.999959744,332672399999959744,25.88500213623047,-79.65499877929688
b'1980199N31284',1980-07-17T08:59:59.999959744,332672399999959744,25.88500213623047,-79.58499908447266
b'1980199N31284',1980-07-17T11:59:59.999959744,332683199999959744,25.380001068115234,-78.69999694824219
